Zip , Population
14034 ,"3,205"
14035 ,167
14036 ,"5,119"
14037 ,855
14039 ,86
14040 ,"2,365"
14041 ,295
14042 ,"3,783"
14043 ,"24,267"
14047 ,"6,596"
14048 ,"14,718"
14051 ,"20,133"
14052 ,"17,072"
14054 ,"1,189"
14055 ,"1,461"
14057 ,"8,241"
14058 ,"2,190"
14059 ,"9,834"
14060 ,531
14061 ,328
14062 ,"3,311"
14063 ,"14,555"
14065 ,"1,825"
14066 ,"1,149"
14067 ,"5,456"
14068 ,"7,131"
14069 ,738
14070 ,"6,050"
14072 ,"20,580"
14075 ,"42,837"
14080 ,"4,467"
14081 ,"3,167"
14082 ,322
14085 ,"7,167"
14086 ,"32,159"
14091 ,"1,078"
14092 ,"11,595"
14094 ,"50,605"
14098 ,"3,079"
14101 ,"2,171"
14102 ,"1,494"
14103 ,"10,728"
14105 ,"4,247"
14108 ,"5,686"
14109 ,813
14111 ,"3,456"
14112 ,85
14113 ,620
14120 ,"44,800"
14125 ,"3,765"
14126 ,685
14127 ,"30,329"
14129 ,"1,436"
14130 ,234
14131 ,"4,828"
14132 ,"6,933"
14134 ,111
14135 ,143
14136 ,"5,109"
14138 ,"2,250"
14139 ,"2,028"
14141 ,"7,684"
14143 ,"1,076"
14145 ,"1,522"
14150 ,"41,908"
14167 ,"1,765"
14168 ,111
14169 ,320
14170 ,"2,370"
14171 ,"2,005"
14172 ,"3,104"
14173 ,263
14174 ,"5,683"
14201 ,"12,872"
14202 ,"3,570"
14203 ,"1,751"
14204 ,"8,905"
14206 ,"21,670"
14207 ,"23,285"
14208 ,"10,918"
14209 ,"8,597"
14210 ,"13,787"
14211 ,"20,885"
14212 ,"10,974"
14213 ,"23,468"
14214 ,"19,743"
14215 ,"39,786"
14216 ,"22,203"
14217 ,"22,911"
14218 ,"18,943"
14219 ,"10,912"
14220 ,"24,525"
14221 ,"54,109"
14222 ,"14,519"
14223 ,"22,901"
14224 ,"40,002"
14225 ,"33,228"
14226 ,"28,593"
14227 ,"22,950"
14228 ,"21,887"
14261 ,"5,680"
14301 ,"12,965"
14302 ,25
14303 ,"6,073"
14304 ,"28,605"
14305 ,"17,249"
14411 ,"14,493"
14414 ,"7,062"
14415 ,61
14416 ,"3,606"
14418 ,"1,371"
14420 ,"20,638"
14422 ,"2,432"
14423 ,"4,828"
14424 ,"26,862"
14425 ,"11,415"
14427 ,"2,202"
14428 ,"8,003"
14432 ,"6,304"
14433 ,"4,121"
14435 ,"2,894"
14437 ,"11,314"
14441 ,444
14445 ,"7,892"
14450 ,"41,414"
14454 ,"11,124"
14456 ,"19,865"
14462 ,594
14464 ,"7,272"
14466 ,"1,844"
14467 ,"9,784"
14468 ,"18,271"
14469 ,"6,500"
14470 ,"7,930"
14471 ,"2,628"
14472 ,"8,308"
14475 ,227
14476 ,"2,229"
14477 ,"2,089"
14478 ,"1,535"
14479 ,319
14480 ,"1,166"
14481 ,"1,865"
14482 ,"8,265"
14485 ,"4,609"
14486 ,268
14487 ,"5,539"
14489 ,"7,261"
14502 ,"10,698"
14504 ,"1,739"
14505 ,"5,050"
14506 ,"1,374"
14507 ,"1,292"
14510 ,"4,700"
14511 ,379
14512 ,"4,765"
14513 ,"14,001"
14514 ,"6,719"
14516 ,"2,429"
14517 ,"2,989"
14519 ,"11,594"
14521 ,"2,755"
14522 ,"9,288"
14525 ,"2,772"
14526 ,"20,609"
14527 ,"12,923"
14529 ,85
14530 ,"5,392"
14532 ,"4,235"
14533 ,"1,826"
14534 ,"32,399"
14536 ,568
14537 ,164
14539 ,225
14541 ,"4,634"
14542 ,58
14543 ,"3,174"
14544 ,"2,247"
14545 ,173
14546 ,"4,843"
14548 ,"4,056"
14549 ,5
14550 ,"1,764"
14551 ,"5,693"
14555 ,"1,182"
14559 ,"18,336"
14560 ,"1,860"
14561 ,"3,209"
14564 ,"14,382"
14568 ,"6,465"
14569 ,"6,216"
14571 ,"1,123"
14572 ,"5,228"
14580 ,"50,946"
14585 ,69
14586 ,"11,452"
14588 ,259
14589 ,"7,573"
14590 ,"5,199"
14591 ,"1,552"
14592 ,187
14604 ,"1,651"
14605 ,"13,737"
14606 ,"29,076"
14607 ,"16,159"
14608 ,"12,377"
14609 ,"44,103"
14610 ,"13,679"
14611 ,"17,773"
14612 ,"34,668"
14613 ,"12,212"
14614 ,"1,136"
14615 ,"15,579"
14616 ,"28,638"
14617 ,"22,776"
14618 ,"21,367"
14619 ,"15,237"
14620 ,"25,689"
14621 ,"34,576"
14622 ,"12,042"
14623 ,"26,003"
14624 ,"35,918"
14625 ,"9,990"
14626 ,"29,735"
14627 ,"2,703"
14701 ,"40,232"
14706 ,"6,294"
14707 ,261
14708 ,264
14709 ,"1,617"
14710 ,"3,359"
14711 ,"1,976"
14712 ,"3,483"
14714 ,464
14715 ,"2,816"
14716 ,"3,100"
14717 ,602
14718 ,"2,195"
14719 ,"3,501"
14720 ,603
14721 ,78
14722 ,430
14723 ,"1,149"
14724 ,"2,486"
14726 ,"2,193"
14727 ,"5,161"
14728 ,801
14729 ,853
14731 ,"1,374"
14732 ,135
14733 ,"4,352"
14735 ,"2,627"
14736 ,240
14737 ,"3,997"
14738 ,"3,641"
14739 ,"2,699"
14740 ,"1,496"
14741 ,"2,218"
14742 ,215
14743 ,"1,890"
14744 ,"2,265"
14747 ,"2,261"
14748 ,793
14750 ,"4,309"
14752 ,185
14753 ,"1,065"
14754 ,565
14755 ,"3,120"
14756 ,164
14757 ,"3,520"
14760 ,"18,208"
14767 ,"2,021"
14769 ,964
14770 ,"2,836"
14772 ,"4,087"
14774 ,200
14775 ,"2,284"
14777 ,656
14778 ,"1,388"
14779 ,"6,629"
14781 ,"2,181"
14782 ,"2,680"
14783 ,350
14784 ,766
14787 ,"5,030"
14788 ,245
14801 ,"5,638"
14802 ,"4,260"
14803 ,956
14804 ,"1,662"
14805 ,944
14806 ,"2,149"
14807 ,"2,764"
14808 ,475
14809 ,"2,413"
14810 ,"12,444"
14812 ,"3,369"
14813 ,"2,559"
14814 ,"1,984"
14815 ,870
14816 ,442
14817 ,"2,151"
14818 ,"1,598"
14819 ,773
14820 ,655
14821 ,"2,967"
14822 ,"1,415"
14823 ,"3,617"
14824 ,654
14825 ,"1,007"
14826 ,"2,264"
14827 ,95
14830 ,"19,679"
14836 ,"1,127"
14837 ,"5,569"
14838 ,"2,160"
14839 ,744
14840 ,"3,110"
14841 ,909
14842 ,808
14843 ,"13,052"
14845 ,"20,961"
14846 ,785
14847 ,"2,282"
14850 ,"65,647"
14853 ,"2,883"
14854 ,15
14855 ,"1,002"
14856 ,100
14858 ,"1,713"
14859 ,800
14860 ,"1,270"
14861 ,"1,305"
14864 ,"1,107"
14865 ,"2,787"
14867 ,"5,738"
14869 ,"1,343"
14870 ,"10,647"
14871 ,"5,561"
14872 ,650
14873 ,"2,832"
14874 ,166
14877 ,460
14878 ,590
14879 ,"2,231"
14880 ,"1,272"
14881 ,271
14882 ,"3,939"
14883 ,"4,056"
14884 ,185
14885 ,880
14886 ,"7,236"
14889 ,"1,594"
14891 ,"4,655"
14892 ,"8,000"
14893 ,12
14894 ,"1,311"
14895 ,"9,802"
14897 ,921
14898 ,"2,021"
14901 ,"17,019"
14903 ,"6,805"
14904 ,"15,411"
14905 ,"9,414"
