Zip , Population
11367 ,"41,582"
11368 ,"110,385"
11369 ,"39,862"
11370 ,"36,271"
11372 ,"63,202"
11373 ,"100,713"
11374 ,"41,792"
11375 ,"69,652"
11377 ,"88,939"
11378 ,"30,854"
11379 ,"35,725"
11385 ,"100,132"
11411 ,"19,177"
11412 ,"37,690"
11413 ,"41,689"
11414 ,"28,742"
11415 ,"19,020"
11416 ,"25,973"
11417 ,"31,556"
11418 ,"36,751"
11419 ,"48,370"
11420 ,"50,162"
11421 ,"42,745"
11422 ,"32,589"
11423 ,"32,053"
11426 ,"19,348"
11427 ,"23,460"
11428 ,"20,461"
11429 ,"27,506"
11430 ,171
11432 ,"62,395"
11433 ,"37,927"
11434 ,"65,255"
11435 ,"54,523"
11436 ,"18,609"
11501 ,"19,155"
11507 ,"7,224"
11509 ,"2,232"
11510 ,"33,430"
11514 ,"5,197"
11516 ,"7,513"
11518 ,"10,065"
11520 ,"43,632"
11530 ,"28,155"
11542 ,"27,691"
11545 ,"12,653"
11547 ,797
11548 ,"2,328"
11549 ,"2,337"
11550 ,"57,224"
11552 ,"22,949"
11553 ,"26,506"
11554 ,"37,513"
11556 ,17
11557 ,"7,364"
11558 ,"8,646"
11559 ,"8,402"
11560 ,"6,334"
11561 ,"37,599"
11563 ,"22,984"
11565 ,"8,820"
11566 ,"33,791"
11568 ,"4,240"
11569 ,"1,284"
11570 ,"27,896"
11572 ,"28,901"
11575 ,"16,674"
11576 ,"12,325"
11577 ,"12,788"
11579 ,"5,336"
11580 ,"41,525"
11581 ,"20,956"
11590 ,"45,972"
11596 ,"10,638"
11598 ,"12,927"
11691 ,"62,577"
11692 ,"17,970"
11693 ,"11,338"
11694 ,"21,507"
11697 ,"4,078"
11701 ,"27,423"
11702 ,"14,512"
11703 ,"16,249"
11704 ,"40,685"
11705 ,"7,571"
11706 ,"65,865"
11709 ,"6,724"
11710 ,"35,151"
11713 ,"9,530"
11714 ,"23,313"
11715 ,"4,335"
11716 ,"11,134"
11717 ,"59,449"
11718 ,"3,117"
11719 ,"3,372"
11720 ,"29,374"
11721 ,"6,482"
11722 ,"37,181"
11724 ,"2,853"
11725 ,"28,646"
11726 ,"21,102"
11727 ,"29,987"
11729 ,"27,409"
11730 ,"14,204"
11731 ,"28,969"
11732 ,"3,671"
11733 ,"17,065"
11735 ,"32,499"
11738 ,"17,643"
11739 ,"1,421"
11740 ,"9,507"
11741 ,"28,651"
11742 ,"13,229"
11743 ,"43,533"
11746 ,"68,580"
11747 ,"19,793"
11749 ,"3,346"
11751 ,"14,679"
11752 ,"9,351"
11753 ,"11,657"
11754 ,"19,201"
11755 ,"12,329"
11756 ,"42,321"
11757 ,"44,923"
11758 ,"55,900"
11762 ,"23,053"
11763 ,"29,217"
11764 ,"12,969"
11765 ,745
11766 ,"12,718"
11767 ,"15,259"
11768 ,"21,687"
11769 ,"8,716"
11770 ,102
11771 ,"9,344"
11772 ,"45,262"
11776 ,"25,675"
11777 ,"9,448"
11778 ,"12,747"
11779 ,"38,733"
11780 ,"15,099"
11782 ,"15,045"
11783 ,"21,170"
11784 ,"26,312"
11786 ,"6,550"
11787 ,"36,357"
11788 ,"16,167"
11789 ,"7,659"
11790 ,"18,627"
11791 ,"25,213"
11792 ,"8,941"
11793 ,"32,710"
11794 ,"3,317"
11795 ,"25,536"
11796 ,"4,012"
11797 ,"8,645"
11798 ,"15,362"
11801 ,"39,805"
11803 ,"28,445"
11804 ,"5,000"
11901 ,"30,631"
11930 ,"1,565"
11931 ,36
11932 ,"1,008"
11933 ,"6,358"
11934 ,"7,929"
11935 ,"3,263"
11937 ,"15,446"
11939 ,932
11940 ,"4,982"
11941 ,"1,929"
11942 ,"4,092"
11944 ,"4,338"
11946 ,"13,312"
11947 ,138
11948 ,"1,315"
11949 ,"14,340"
11950 ,"16,969"
11951 ,"13,401"
11952 ,"4,518"
11953 ,"12,688"
11954 ,"3,471"
11955 ,"2,780"
11956 ,298
11957 ,713
11958 ,366
11959 ,877
11960 ,744
11961 ,"12,041"
11962 ,452
11963 ,"6,811"
11964 ,"2,048"
11965 ,621
11967 ,"27,115"
11968 ,"10,718"
11970 ,466
11971 ,"6,376"
11972 ,"1,295"
11973 ,40
11975 ,359
11976 ,"2,301"
11977 ,"2,570"
11978 ,"2,963"
11980 ,"4,856"
12007 ,33
12008 ,480
12009 ,"7,264"
12010 ,"28,926"
12015 ,"2,789"
12017 ,332
12018 ,"7,919"
12019 ,"14,893"
12020 ,"31,729"
12022 ,944
12023 ,"2,120"
12024 ,94
12025 ,"5,471"
12027 ,"3,731"
12028 ,"1,024"
12029 ,"1,105"
12031 ,114
12032 ,836
12033 ,"7,886"
12035 ,798
12036 ,202
12037 ,"4,416"
12040 ,132
12041 ,500
12042 ,158
12043 ,"8,396"
12045 ,325
12046 ,772
12047 ,"20,086"
12051 ,"7,030"
12052 ,"1,477"
12053 ,"4,605"
12054 ,"17,139"
12056 ,"2,319"
12057 ,"2,130"
12058 ,"1,586"
12059 ,"1,698"
12060 ,"1,324"
12061 ,"9,747"
12062 ,"1,677"
12063 ,479
12064 ,392
12065 ,"42,249"
12066 ,"2,120"
12067 ,"1,551"
12068 ,"3,006"
12069 ,147
12070 ,"1,607"
12071 ,255
12072 ,"2,697"
12074 ,"2,849"
12075 ,"3,120"
12076 ,"1,582"
12077 ,"6,481"
12078 ,"24,072"
12083 ,"3,639"
12084 ,"4,281"
12085 ,507
12086 ,"1,503"
12087 ,886
12089 ,140
12090 ,"6,175"
12092 ,884
12093 ,"1,812"
12094 ,"2,550"
12095 ,"12,166"
12106 ,"2,380"
12108 ,445
12110 ,"21,837"
12115 ,304
12116 ,"1,949"
12117 ,"3,426"
12118 ,"14,569"
12120 ,700
12121 ,"1,739"
12122 ,"4,372"
12123 ,"5,293"
12124 ,718
12125 ,"1,434"
12130 ,"1,025"
12131 ,114
12132 ,235
12134 ,"3,736"
12136 ,682
12137 ,"1,901"
12138 ,"3,247"
12139 ,226
12140 ,"1,461"
12143 ,"5,104"
12144 ,"20,244"
12147 ,603
12148 ,"4,428"
12149 ,"2,415"
12150 ,842
12151 ,684
12153 ,786
12154 ,"2,961"
12155 ,"1,934"
12156 ,955
12157 ,"4,272"
12158 ,"6,775"
12159 ,"7,878"
12160 ,"1,058"
12161 ,87
12164 ,370
12165 ,188
12166 ,"1,314"
12167 ,"2,561"
